Familial,Age_Gender,Education_level,occupation,Mobility,Income,Race,ClusterID,IR
0.08453596,0.06566462,0.8761523,0.86244655,1.49E-06,0,0.11690086,0,3.11816137
0.18184936,0.17900753,0.8042946,0.7183913,0.14425701,0.112877816,0.228025,2,13.66602982
0.8056102,0.69731027,0.23287901,0.2430083,0.8247744,0.7778111,0.41987142,5,38.11467317
0.31630033,0.26527295,0.7542143,0.72582936,0.21460852,0.20179829,0.6017568,2,15.21766753
0.1859854,0.14941943,0.7862904,0.78178656,0.1398595,0.11261013,0.5841963,2,17.78517616
0.19154261,0.16924357,0.78995055,0.76002115,0.1955263,0.13632163,0.11361271,2,29.47141372
0.29164004,0.2033163,0.7716838,0.73214453,0.1936039,0.17405209,0.7396449,2,24.81524379
0.16362959,0.11588174,0.82368165,0.79774463,0.06290686,0.07912311,0.12547576,2,11.14379933
0.64999,0.52692,0.4945973,0.44189554,0.43208975,0.536611,0.1567733,3,40.51047221
0.13677603,0.3615223,0.82902753,0.7899277,0.057527333,0.070987314,0.68647426,2,18.95117952
0.16743696,0.33039117,0.66959673,0.6220938,0.18540138,0.27246368,0.27211136,2,6.623414676
0.6690569,0.66494447,0.27208883,0.27717978,0.7895069,0.7081404,0.9366763,4,35.7805543
0.75018287,0.7774646,0.35564744,0.35220644,0.90986717,0.8298917,0.91729736,6,52.94741038
0.89498025,0.88803756,0.14348996,0.10084668,0.967304,0.9671794,0.9644195,7,40.56349123
0.5653852,0.50228107,0.52091205,0.87679565,0.4802555,0.48047978,0.22618952,3,46.37432132
0.7840351,0.78366446,0.15705511,0.19968697,0.9116772,0.8438997,0.27383634,6,49.01597477
0.63025934,0.64968073,0.29542792,0.26327854,0.74018437,0.712041,0.25191313,4,28.84685378
0.103054315,0.09564471,0.8612962,0.80663145,7.59E-05,0.04406947,0.5157319,0,3.315538715
0.36990294,0.31929415,0.6070871,0.56099045,0.52335054,0.30865297,0.1626057,3,31.17843691
0.569278,0.458404,0.54059863,0.49565193,0.4365538,0.45780188,0.82076454,3,23.98173385
0.09101799,0.0806959,0.87585115,0.8391963,0.024634868,0.036468387,0.24273781,0,0.765630882
0.14320919,1,0.8305427,0.79600894,0.08798778,0.081119746,0.14127511,2,10.84093142
0.44326383,0.4158401,0.56475466,0.50636077,0.42881715,0.4006235,0.9023628,3,10.73875435
0.20026816,0.15636754,0.8056234,0.75269115,0.097285986,0.122576356,0.67884225,2,8.442248702
0.44631782,0.6496802,0.37972975,0.91421705,0.6031565,0.6952824,0.73267007,3,17.09267751
0.90556884,0.9004314,0.09151122,0.14086348,0.99999994,0.98027337,0.41198766,7,70.49960178
0.29900604,0.33650416,0.6228894,0.5297289,0.15987268,0.20029894,1,2,35.77803124
0.22733109,0.16590232,0.799999,0.76522976,0.1078369,0.1383022,0.14810151,1,12.18414522
0.13203937,0.7135636,0.70431554,0.6577029,0.11258301,0.1544444,0.6211631,2,10.60556784
1,0.16598165,0.7957177,0.7655395,0.15231183,0.1366517,0.7866205,2,17.116026
0.16202915,0.211627,0.71218425,0.6666385,0.097694635,0.15163231,0.71234703,2,5.348733749
0.31676674,0.18895492,0.78103054,0.7480624,0.12483156,0.17115134,0.24249223,2,20.98088294
0.20262676,0.15831602,0.7910728,0.78441083,0.17321411,0.1258103,0.33386618,2,13.50378365
0.14850965,0.11162692,0.8332445,0.80008984,0.058834314,0.07369718,0.689628,2,12.81673042
0.22007877,0.1754328,0.79346824,0.7429205,0.14479682,0.13239846,0.15929246,2,19.93377908
0.09554008,0.07254258,0.8711721,0.8326094,0.021948993,0.028265774,0.37096542,0,5.234295876
0.1930164,0.17916223,0.7077749,0.66565835,0.081198245,0.1476675,0.20723262,2,9.410282138
0.36931238,0.22184667,0.7638164,0.7412995,0.19578278,0.20731732,0.36529645,2,24.59154677
0.5028175,0.40190703,0.5615309,0.54998887,0.43957984,0.39675498,0.50973016,3,20.41556637
0.5312748,0.55157524,0.502491,0.496963,0.6191247,0.54701954,0.49028015,4,24.21860269
0.3104274,0.1616568,0.78225595,0.7811388,0.15447596,0.12858787,0.2224429,2,16.16691802
