geo_id,avIR,4_03.csv,4_04.csv,4_05.csv,4_07.csv,4_08.csv,4_09.csv,4_10.csv,4_11.csv,4_12.csv,4_13.csv,4_14.csv,4_15.csv,4_16.csv,4_17.csv,4_18.csv,4_19.csv,4_20.csv,4_21.csv,4_22.csv,4_23.csv,4_24.csv,4_25.csv,4_26.csv,4_27.csv,4_28.csv,4_29.csv,4_30.csv,5_01.csv,5_02.csv,5_03.csv,5_04.csv,5_05.csv,5_06.csv,5_07.csv,5_08.csv,5_09.csv,5_10.csv,5_11.csv
10001,10.605567836573755,10,12,12,8,13,6,4,10,10,10,7,4,9,3,6,1,5,2,9,8,3,87,-76,1,1,2,1,2,3,2,3,-1,0,1,0,4,2,1
10002,25.340386272939213,24,19,45,16,35,36,8,39,15,24,67,21,19,10,17,4,13,4,23,18,6,198,-170,20,4,5,11,14,8,8,12,9,6,2,8,9,6,1
10003,10.246684038800595,7,12,20,8,15,11,3,12,6,5,33,6,8,5,5,4,4,3,5,4,1,119,-109,3,1,5,2,3,4,3,3,4,1,0,3,3,1,0
10004,0.5510489987209439,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,-1,1,10,-10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10005,0.7656308822333813,0,1,3,0,4,0,1,1,1,1,1,1,2,0,0,0,0,0,1,2,1,11,-10,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
10006,0.13562953477958217,0,0,1,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,0,1,6,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
10007,0.6812099921517074,1,0,1,0,1,1,0,2,0,1,0,1,1,2,1,1,1,0,0,4,0,4,-4,-1,0,0,0,2,2,0,-1,0,0,0,0,0,0,0
10009,17.092677512584487,17,9,36,10,25,15,1,32,8,18,63,10,14,7,17,4,8,0,17,6,8,99,-81,8,5,5,4,4,2,3,3,1,2,1,8,6,0,0
10010,3.339864975605451,1,2,12,4,13,8,2,6,3,6,13,2,5,5,1,1,1,1,6,5,1,61,-53,1,1,0,2,4,3,-1,3,0,2,0,2,0,1,0
10011,13.673243901590467,12,11,30,8,13,12,1,13,4,6,10,5,4,6,4,4,5,1,7,11,5,136,-114,1,1,1,1,5,2,3,6,2,2,1,2,0,1,1
10012,3.1886701755356626,3,5,1,2,3,5,0,2,1,2,8,4,0,1,2,2,3,0,4,5,3,33,-31,1,1,2,1,1,1,3,2,1,1,0,1,0,1,0
10013,2.984350399048708,2,2,7,4,5,9,2,10,1,4,1,3,3,4,2,0,1,1,6,6,1,51,-44,6,0,3,2,2,3,0,3,5,0,1,2,1,2,3
10014,6.623414675792446,5,10,8,3,9,7,2,5,1,3,7,6,1,3,0,2,1,2,2,4,3,60,-56,1,0,4,2,5,2,1,3,1,2,1,0,2,0,0
10016,15.975000994971197,16,13,20,10,35,23,5,18,7,12,16,10,8,8,6,4,9,5,15,4,7,181,-168,7,7,9,5,10,7,1,5,3,2,2,1,4,3,0
10017,3.8962241900444496,4,2,9,0,6,3,0,7,2,3,3,2,5,0,2,1,1,2,2,5,3,34,-30,-2,2,-1,0,1,0,0,0,1,2,0,0,2,0,0
10018,5.754665043350542,6,3,10,4,6,14,8,8,1,2,0,0,4,3,2,0,1,0,6,1,3,36,-33,4,0,0,3,-2,6,0,0,0,1,0,0,2,0,0
10019,11.508178504300304,11,7,20,11,23,12,4,20,5,11,61,13,10,1,6,2,6,1,8,10,5,102,-88,8,3,8,3,7,4,3,4,2,3,0,4,5,2,4
10021,12.498921350968885,13,11,13,3,27,25,10,26,3,11,5,7,7,9,3,0,7,5,8,7,3,119,-111,5,2,11,2,3,2,0,1,1,2,3,4,6,1,1
10022,7.86625185929006,9,2,15,8,5,15,4,13,3,9,5,2,5,4,3,1,3,0,6,8,4,94,-86,0,2,3,5,0,3,2,4,4,2,1,2,4,0,0
10023,12.104289237278863,14,6,18,6,14,23,3,26,9,18,38,10,5,6,6,1,5,2,8,12,2,98,-87,7,1,4,1,5,2,2,0,4,6,0,2,2,0,2
10024,15.528105981793487,15,13,24,11,21,19,1,21,6,14,36,11,7,12,6,4,8,9,13,9,6,152,-140,8,3,5,8,0,6,8,5,5,1,1,4,3,3,3
10025,31.808363300537167,30,20,56,33,47,54,15,44,26,33,105,20,26,11,28,13,13,9,20,26,21,253,-216,16,9,6,20,12,5,14,5,3,7,3,8,8,8,3
10026,18.07541781891632,22,9,23,11,24,19,5,29,6,20,57,9,11,10,7,10,5,2,11,10,17,101,-74,5,7,10,8,13,2,6,3,6,8,3,5,4,5,0
10027,28.09132045817387,26,17,60,19,43,30,8,49,11,9,103,13,21,7,14,7,6,4,19,24,14,143,-112,17,7,15,7,21,10,11,7,9,15,4,6,10,6,8
10028,10.394717935130757,9,8,20,7,20,13,5,15,9,4,13,8,8,6,6,4,4,1,3,8,2,121,-115,10,2,11,1,1,2,1,2,5,2,1,1,1,1,2
10029,51.25520352338208,48,40,83,32,104,69,20,55,29,36,148,39,34,32,20,18,22,4,64,49,31,300,-240,28,14,21,19,14,18,24,11,17,15,4,18,9,8,6
10030,15.663504924355948,14,15,22,8,38,22,3,20,3,9,24,10,8,5,15,5,4,1,8,6,2,75,-57,6,6,6,6,-1,5,3,2,4,4,1,3,2,2,1
10031,32.322341067636444,26,26,67,26,50,53,6,69,24,25,66,29,24,15,13,11,23,3,27,25,22,195,-140,21,5,8,21,12,14,13,15,8,17,7,17,10,12,9
10032,37.473856728480314,42,17,60,35,43,43,7,92,23,24,45,37,41,21,18,7,24,5,39,39,31,215,-172,21,7,15,17,24,10,15,21,11,22,5,11,14,3,7
10033,28.84685378375434,24,25,48,35,47,37,2,66,17,28,29,35,31,19,16,5,11,6,42,51,26,202,-142,17,4,19,22,22,20,10,14,12,12,7,10,8,1,6
10034,18.119063933532743,17,9,34,19,42,24,3,45,8,14,16,16,21,13,6,6,13,3,26,19,9,98,-79,17,5,7,6,16,6,5,4,4,6,1,8,5,3,0
10035,22.904096721220412,17,21,47,20,37,35,10,37,19,16,80,28,24,15,14,15,13,3,12,18,16,152,-120,12,5,5,12,4,6,11,5,11,14,2,8,5,5,3
10036,8.880983098242723,7,3,29,8,10,5,2,18,3,6,29,7,9,5,10,3,5,0,11,8,5,63,-55,3,2,4,3,2,6,2,0,1,3,1,2,2,2,3
10037,12.184145217004698,7,13,25,11,37,22,7,9,3,11,21,14,8,7,1,2,5,0,4,4,7,63,-43,3,3,3,2,3,6,10,2,5,4,1,0,5,2,36
10038,5.348733749437088,4,4,13,4,8,9,2,14,4,4,1,0,3,2,1,1,4,0,7,1,6,48,-37,5,2,4,0,4,3,4,3,1,3,1,1,0,0,-1
10039,9.77365758128144,6,8,23,9,27,19,10,23,2,9,21,12,9,4,5,5,6,2,13,19,10,81,-67,10,2,8,6,5,6,4,1,3,7,4,1,3,1,2
